Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,749,423,730,524,102.7715914054
1,751,423,732,522,100.806745806
2,751,422,735,521,100.2845950283
3,752,422,737,522,101.1187420808
4,752,421,738,520,99.9849988748
5,754,419,740,520,101.9656805008
6,754,417,741,519,102.8250942134
7,756,416,744,518,102.7034566117
8,757,413,746,516,103.5857133006
9,758,412,745,515,103.817146946
10,761,411,747,514,103.9471019317
11,762,411,747,513,103.0970416646
12,764,409,747,514,106.3672882046
13,766,409,747,513,105.7213318115
14,767,409,747,514,106.8877916322
15,768,409,746,514,107.2800074571
16,767,409,746,514,107.0794097854
17,767,409,746,516,109.0412765883
18,763,410,745,517,108.5034561662
19,762,412,747,518,107.0560600807
20,762,413,747,519,107.0560600807
21,761,416,748,520,104.8093507279
22,761,421,749,522,101.710373119
23,760,424,749,524,100.6031808642
24,761,426,749,525,99.7246208316
25,761,429,749,526,97.7394495585
26,760,429,748,527,98.7319603776
27,760,430,748,527,97.7394495585
28,759,430,746,528,98.8584847143
29,758,430,745,528,98.8584847143
30,757,431,744,528,97.8672570373
31,756,431,743,528,97.8672570373
32,756,432,743,529,97.8672570373
33,756,434,743,531,97.8672570373
34,755,435,743,531,96.7470929796
35,757,435,745,532,97.7394495585
36,759,436,747,532,96.7470929796
37,760,434,748,531,97.7394495585
38,763,434,749,531,98.005101908
39,765,434,751,531,98.005101908
40,767,433,752,531,99.1413132856
41,769,434,752,532,99.4635611669
42,770,434,753,532,99.4635611669
43,771,434,753,533,100.6230589875
44,771,436,754,533,98.4784240329
45,773,438,754,534,97.8621479429
46,774,439,754,535,98.0612053771
47,774,440,755,535,96.8813707583
48,775,440,755,536,98.0612053771
49,776,441,756,536,97.0824391947
50,777,442,757,536,96.1041102139
51,778,443,757,537,96.3171843442
52,779,444,757,538,96.5401470892
53,779,445,757,539,96.5401470892
54,778,447,757,540,95.3414914924
55,777,450,757,541,93.1718841711
56,778,452,757,542,92.4175308045
57,776,454,757,543,91.0054943396
58,775,455,756,544,91.0054943396
59,773,456,755,544,89.8220462915
60,772,457,754,545,89.8220462915
61,771,457,753,545,89.8220462915
62,771,457,753,546,90.8019823572
63,771,458,753,546,89.8220462915
64,770,458,753,546,89.627004859
65,770,458,753,546,89.627004859
66,770,458,753,546,89.627004859
67,771,458,753,546,89.8220462915
68,773,459,754,547,90.0277734924
69,774,460,756,547,88.8425573698
70,776,461,756,548,89.2692556259
71,776,463,757,549,88.0738326633
72,776,464,758,550,87.863530546
73,776,466,757,551,87.0976463517
74,776,467,756,552,87.3212459829
75,775,469,755,553,86.3481325797
76,775,469,755,554,87.3212459829
77,774,470,755,555,87.0976463517
78,773,469,754,554,87.0976463517
79,773,472,753,555,85.375640554
80,773,472,754,555,85.1469318296
81,772,472,753,556,86.1220064792
82,771,473,752,556,85.1469318296
83,772,474,752,556,84.403791384
84,770,476,749,557,83.6779540859
85,769,476,749,557,83.4326075345
86,768,476,749,558,84.1724420461
87,768,476,749,558,84.1724420461
88,767,477,748,558,83.1985576798
89,768,477,748,559,84.403791384
90,768,477,748,558,83.4326075345
91,767,477,748,557,82.2253002427
92,768,476,748,557,83.4326075345
93,769,477,748,557,82.710337927
94,769,477,748,557,82.710337927
95,768,475,748,557,84.403791384
