Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,730,264,716,393,129.7574660665
1,731,270,717,394,124.7878199185
2,732,269,715,398,130.1153334546
3,731,269,715,398,129.9884610264
4,731,268,714,399,132.0984481362
5,731,268,714,400,133.0901949807
6,731,269,714,401,133.0901949807
7,731,270,714,400,131.106826672
8,732,270,714,402,133.221619867
9,732,271,716,401,130.9809146403
10,732,273,715,402,130.1153334546
11,730,273,714,403,130.9809146403
12,731,271,715,403,132.9661611088
13,729,273,713,403,130.9809146403
14,727,274,712,404,130.862523283
15,727,274,712,404,130.862523283
16,726,275,711,404,129.8691649315
17,725,275,711,406,131.7459676802
18,724,280,709,409,129.8691649315
19,723,284,708,411,127.8827588067
20,721,291,708,415,124.6795893481
21,721,300,707,419,119.8206993804
22,719,306,707,425,119.6035116541
23,717,313,706,425,112.5388821697
24,718,318,707,428,110.5486318323
25,716,324,706,432,108.4619749036
26,717,329,707,435,106.4706532336
27,717,331,706,436,105.5746181618
28,717,333,706,438,105.5746181618
29,720,336,708,439,103.6966730421
30,722,338,708,441,103.9471019317
31,724,340,710,443,103.9471019317
32,725,342,712,443,101.8331969448
33,726,346,713,446,100.8414597276
34,727,347,714,448,101.8331969448
35,728,348,715,447,99.8498873309
36,729,349,716,448,99.8498873309
37,732,352,719,451,99.8498873309
38,733,353,719,451,98.9949493661
39,736,352,722,451,99.9849988748
40,738,354,724,451,98.005101908
41,740,355,726,451,97.0154626851
42,742,354,728,452,98.9949493661
43,746,354,731,452,99.1413132856
44,747,353,733,451,98.9949493661
45,752,352,737,450,99.1413132856
46,756,353,741,451,99.1413132856
47,759,353,744,451,99.1413132856
48,763,353,746,450,98.4784240329
49,767,354,748,450,97.8621479429
50,770,355,751,453,99.8248466064
51,771,353,751,450,99.0403957989
52,773,354,753,451,99.0403957989
53,773,353,754,450,98.8433103452
54,775,354,755,452,100.0199980004
55,777,352,756,449,99.2471662064
56,779,355,757,452,99.4635611669
57,780,353,757,450,99.6895180047
58,780,356,759,452,98.270036125
59,780,353,758,450,99.4635611669
60,781,354,759,452,100.4390362359
61,780,354,759,450,98.270036125
62,781,355,760,451,98.270036125
63,781,353,760,450,99.2471662064
64,781,353,760,450,99.2471662064
65,780,351,760,449,100.0199980004
66,780,352,760,450,100.0199980004
67,781,351,761,448,99.0403957989
68,779,350,760,448,99.8248466064
69,779,350,760,449,100.806745806
70,779,349,760,449,101.7889974408
71,778,349,759,447,99.8248466064
72,779,347,760,448,102.7715914054
73,779,345,759,446,102.9611577246
74,780,343,759,445,104.1393297463
75,781,344,759,446,104.345579686
76,781,342,759,445,105.3233117596
77,781,340,758,445,107.4895343743
78,780,339,758,444,107.2800074571
79,780,339,758,446,109.2382716817
80,778,337,758,446,110.8196733437
81,777,337,757,446,110.8196733437
82,775,338,755,447,110.8196733437
83,775,339,755,448,110.8196733437
