Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,648,425,646,542,117.0170928
1,639,421,638,534,113.0044247
2,639,422,641,535,113.0176977
3,635,420,637,534,114.0175425
4,636,420,635,532,112.0044642
5,637,419,635,534,115.01739
6,640,420,638,532,112.0178557
7,642,420,638,531,111.0720487
8,644,420,640,528,108.0740487
9,646,419,640,527,108.1665383
10,648,418,642,528,110.1635148
11,649,420,642,527,107.2287275
12,650,421,643,529,108.2266141
13,651,421,644,528,107.2287275
14,654,420,646,529,109.2931837
15,655,420,648,528,108.2266141
16,656,419,651,529,110.1135777
17,659,421,653,535,114.1577855
18,661,422,654,539,117.2092147
19,662,422,656,541,119.1511645
20,664,423,659,542,119.1049957
21,668,422,661,542,120.2039933
22,670,421,662,542,121.2641744
23,671,418,665,538,120.1499064
24,676,417,671,532,115.1086443
25,681,414,675,526,112.1605991
26,683,413,675,525,112.2853508
27,684,413,677,525,112.2185368
28,687,413,679,525,112.2853508
29,689,412,680,525,113.3578405
30,691,411,681,524,113.4416149
31,692,411,682,524,113.4416149
32,692,410,682,524,114.437756
33,693,410,682,524,114.5294722
34,693,409,682,524,115.5248891
35,691,409,680,525,116.5203845
36,688,410,677,531,121.4989712
37,688,411,677,533,122.4948979
38,686,412,674,533,121.5935854
39,685,411,674,532,121.4989712
40,681,411,671,531,120.4159458
41,679,410,667,526,116.6190379
42,677,407,668,519,112.3610253
43,676,404,668,515,111.2879149
44,673,403,666,512,109.2245394
45,672,403,666,511,108.1665383
46,670,402,665,511,109.1146186
47,667,401,664,509,108.0416586
48,666,400,665,508,108.0046295
49,666,399,665,508,109.0045871
50,666,398,665,508,110.0045454
51,665,396,666,506,110.0045454
52,663,399,664,506,107.0046728
53,662,399,661,513,114.0043859
54,663,403,662,517,114.0043859
55,664,403,662,519,116.0172401
56,663,402,660,522,120.0374941
57,664,403,660,522,119.0672079
58,665,402,661,518,116.068945
59,665,400,661,511,111.0720487
60,664,399,659,512,113.1105654
61,664,401,660,511,110.0727032
62,663,402,659,510,108.0740487
63,664,403,660,510,107.0747403
64,663,403,657,510,107.1680923
65,662,404,657,510,106.117859
66,664,405,658,511,106.1696755
67,664,406,658,512,106.1696755
68,663,406,657,513,107.1680923
69,663,406,657,515,109.1650127
70,661,410,655,519,109.1650127
71,662,412,657,523,111.1125555
72,661,416,655,528,112.1605991
73,662,417,653,532,115.3516363
74,663,419,652,535,116.5203845
75,661,419,651,535,116.4302366
76,661,418,649,529,111.6467644
77,659,416,648,524,108.5587399
78,659,417,650,525,108.3743512
79,657,417,648,525,108.3743512
80,656,418,647,524,106.3813893
81,656,419,647,524,105.3850084
82,654,419,647,525,106.2308806
83,653,420,646,525,105.2330746
84,652,421,646,524,103.1746093
85,651,421,645,523,102.1763182
86,650,420,646,523,103.0776406
87,650,421,645,527,106.117859
88,648,422,642,532,110.1635148
89,648,424,641,537,113.2166066
90,647,425,640,540,115.2128465
91,647,425,640,541,116.211015
92,645,425,640,541,116.1077086
93,645,424,639,542,118.1524439
94,645,425,641,539,114.0701539
95,646,421,643,532,111.0405331
96,649,418,645,530,112.0714058
97,649,418,644,531,113.1105654
98,652,420,647,530,110.1135777
99,654,420,648,528,108.1665383
100,655,419,649,527,108.1665383
101,657,417,649,525,108.295891
102,657,416,649,525,109.2931837
103,658,416,649,525,109.3709285
104,659,413,649,524,111.4495402
105,659,411,648,523,112.5388822
106,659,410,647,527,117.6137747
107,659,410,645,529,119.8206994
108,662,412,645,530,119.2182872
109,664,412,644,530,119.6829144
110,663,411,640,529,120.2206305
111,665,406,641,523,119.4361754
112,665,403,641,519,118.4567432
113,665,402,643,516,116.1034022
114,667,401,645,515,116.1034022
115,668,400,647,515,116.9016681
116,668,400,647,515,116.9016681
117,666,400,645,515,116.9016681
118,664,399,643,514,116.9016681
119,663,399,643,514,116.7261753
120,661,399,643,514,116.4001718
121,659,399,640,516,118.5326959
122,655,399,636,518,120.5072612
123,653,403,635,523,121.3424905
124,652,403,633,526,124.4588285
125,651,404,635,527,124.036285
126,648,404,633,528,124.9039631
127,646,402,632,527,125.7815567
128,647,403,636,525,122.4948979
129,647,401,634,523,122.6906679
130,645,400,632,519,119.707978
131,644,401,633,518,117.5159564
132,644,401,632,517,116.6190379
133,643,401,631,515,114.629839
134,643,400,630,514,114.7388339
135,643,399,631,513,114.629839
136,641,402,629,514,112.6410227
137,641,402,629,513,111.6467644
138,641,400,629,513,113.6353818
139,639,402,626,518,116.7261753
140,638,402,626,521,119.6035117
141,639,403,627,522,119.6035117
142,639,404,627,522,118.6086
143,639,406,627,525,119.6035117
144,639,407,628,528,121.4989712
145,638,408,628,531,123.4058345
146,639,409,629,529,120.4159458
147,640,408,632,526,118.2708755
148,640,406,631,522,116.3486141
149,640,403,632,519,116.2755348
150,640,403,632,518,115.277925
151,640,403,631,517,114.3547113
152,639,404,630,516,112.3610253
153,640,404,630,515,111.4495402
154,641,404,631,515,111.4495402
155,642,405,632,515,110.4536102
156,644,407,633,517,110.5486318
157,645,408,635,518,110.4536102
158,647,408,635,525,117.6137747
159,647,410,635,530,120.5985075
160,647,413,636,532,119.507322
161,649,414,635,534,120.8139065
162,652,413,636,535,123.0447073
163,655,415,638,534,120.2081528
164,659,414,642,530,117.239072
165,664,412,648,523,112.1472247
166,663,410,649,522,112.8716085
167,666,410,654,522,112.6410227
168,669,410,656,521,111.7586686
169,670,411,658,521,110.6526095
170,672,410,660,521,111.6467644
171,673,411,662,521,110.5486318
172,674,412,663,521,109.5536398
173,676,411,667,521,110.3675677
174,679,409,670,520,111.3642672
175,679,410,671,525,115.277925
176,680,411,670,528,117.4265728
177,679,414,669,531,117.4265728
178,680,415,671,533,118.3427226
179,679,415,671,535,120.266371
180,681,416,673,536,120.266371
181,682,415,674,534,119.2686044
182,686,414,679,531,117.2092147
183,690,414,681,530,116.3486141
184,691,415,681,529,114.437756
185,691,414,681,527,113.4416149
186,692,415,681,527,112.5388822
187,693,414,682,527,113.5341358
188,693,415,682,527,112.5388822
189,694,414,683,527,113.5341358
190,694,414,684,526,112.4455424
191,695,414,684,526,112.5388822
192,692,413,683,526,113.3578405
193,689,414,680,531,117.3456433
194,687,414,677,532,118.4229707
195,686,413,676,532,119.4194289
196,685,414,675,533,119.4194289
197,685,414,673,531,117.6137747
198,684,411,673,528,117.5159564
199,686,406,676,521,115.4339638
200,678,400,668,515,115.4339638
201,679,399,668,513,114.5294722
202,677,399,668,512,113.3578405
203,677,397,669,512,115.277925
204,676,398,669,515,117.2092147
