Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
1,700,405,702,529,124.016128
2,700,409,700,522,113
3,701,408,699,527,119.0168055
4,702,407,698,529,122.0655562
5,702,407,698,530,123.0650235
6,703,408,699,530,122.0655562
7,702,408,698,530,122.0655562
8,701,409,696,529,120.1041215
9,701,408,695,530,122.1474519
10,700,409,695,527,118.1058847
11,697,408,693,525,117.0683561
12,694,408,690,527,119.0672079
13,692,406,688,526,120.0666482
14,690,405,686,525,120.0666482
15,686,404,683,525,121.0371844
16,681,402,681,524,122
17,678,400,678,527,127
18,678,402,679,533,131.0038167
19,678,404,678,536,132
20,677,405,678,541,136.0036764
21,677,406,679,539,133.0150367
22,676,406,677,538,132.0037878
23,676,405,678,528,123.0162591
24,678,404,680,524,120.0166655
25,678,402,678,524,122
26,678,403,678,524,121
27,678,403,679,523,120.0041666
28,678,402,678,524,122
29,678,403,678,524,121
30,679,403,680,523,120.0041666
31,678,403,679,527,124.0040322
32,676,404,677,531,127.0039369
33,676,406,678,537,131.0152663
34,678,407,680,538,131.0152663
35,678,406,681,538,132.0340865
36,679,406,684,536,130.0961183
37,680,404,684,531,127.0629765
38,680,403,682,528,125.015999
39,680,401,681,524,123.004065
40,682,401,681,521,120.0041666
41,682,401,682,519,118
42,682,400,680,518,118.0169479
43,683,400,680,518,118.0381294
44,684,399,681,517,118.0381294
45,685,399,682,518,119.0378091
46,686,399,682,518,119.0672079
47,688,401,683,526,125.09996
48,692,403,687,528,125.09996
49,692,405,687,529,124.1007655
50,694,407,690,529,122.0655562
51,696,406,693,528,122.0368797
52,700,403,697,527,124.036285
53,702,404,698,525,121.0660976
54,704,406,697,524,118.2074448
55,705,409,695,523,114.437756
56,705,409,695,524,115.4339638
57,706,409,695,524,115.5248891
58,706,409,695,524,115.5248891
59,706,409,694,523,114.629839
60,707,409,695,522,113.6353818
61,706,406,696,524,118.4229707
62,708,408,697,527,119.507322
63,708,409,697,532,123.4908904
64,707,412,695,535,123.5839795
65,707,409,694,536,127.6636205
66,706,408,692,532,124.7878199
67,705,404,690,528,124.9039631
68,701,401,688,522,121.6963434
69,700,399,687,520,121.6963434
70,700,399,688,519,120.5985075
71,701,399,690,519,120.503112
72,700,399,690,519,120.4159458
73,700,399,690,518,119.4194289
74,699,400,689,519,119.4194289
75,696,400,688,520,120.266371
76,695,400,689,522,122.1474519
77,693,400,688,524,124.1007655
78,691,401,686,527,126.0991673
79,689,404,686,532,128.0351514
80,686,404,686,534,130
81,684,404,684,532,128
82,684,402,687,525,123.0365799
83,684,397,686,522,125.015999
84,685,397,685,521,124
85,684,399,683,520,121.0041322
86,683,401,683,520,119
87,683,402,683,521,119
88,683,401,682,521,120.0041666
89,684,402,682,522,120.0166655
90,684,403,682,523,120.0166655
91,682,402,679,525,123.0365799
92,681,403,678,529,126.0357092
93,680,405,676,534,129.0620006
94,679,409,674,538,129.0968629
95,679,411,673,539,128.1405478
96,685,413,680,530,117.1067889
97,684,412,678,528,116.1550688
98,682,412,677,530,118.1058847
99,681,413,677,528,115.0695442
100,680,413,678,532,119.0168055
101,679,414,675,536,122.0655562
102,676,416,676,541,125
103,676,416,675,544,128.0039062
104,676,418,677,545,127.0039369
105,677,418,678,546,128.0039062
106,677,419,678,548,129.0038759
107,676,421,680,548,127.0629765
108,677,423,678,543,120.0041666
109,675,425,676,542,117.0042734
110,673,426,673,538,112
111,672,429,671,540,111.0045044
112,671,430,671,540,110
113,670,431,669,542,111.0045044
114,669,432,669,542,110
115,668,431,667,544,113.0044247
116,667,432,666,547,115.0043477
117,665,433,664,551,118.0042372
118,663,433,662,556,123.004065
119,664,435,663,557,122.0040983
120,666,436,666,559,123
121,667,436,669,558,122.0163923
122,669,437,673,556,119.0672079
123,667,438,672,550,112.1115516
124,665,437,668,553,116.0387866
125,663,438,665,550,112.0178557
126,663,438,663,552,114
127,663,440,663,550,110
128,662,440,661,552,112.0044642
129,661,440,661,552,112
130,661,440,660,556,116.0043103
131,661,441,660,560,119.0042016
132,661,443,659,563,120.0166655
133,661,442,658,565,123.0365799
134,662,442,657,567,125.09996
135,662,442,657,566,124.1007655
136,661,440,656,562,122.102416
137,662,441,660,554,113.0176977
