Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,707,395,708,524,129.0038759
1,713,396,716,524,128.0351514
2,715,394,721,525,131.1373326
3,716,392,718,521,129.0155029
4,717,392,717,521,129
5,717,393,716,521,128.0039062
6,716,394,712,523,129.0620006
7,716,396,711,523,127.0983871
8,716,396,711,523,127.0983871
9,716,396,712,522,126.0634761
10,716,396,713,522,126.0357092
11,717,396,717,524,128
12,717,397,719,525,128.015624
13,718,398,721,528,130.0346108
14,718,398,721,532,134.0335779
15,719,399,720,526,127.0039369
16,718,399,718,528,129
17,718,401,715,524,123.0365799
18,717,400,713,523,123.0650235
19,718,405,713,525,120.1041215
20,718,408,712,528,120.1499064
21,719,411,713,529,118.1524439
22,719,414,712,530,116.211015
23,719,416,712,532,116.211015
24,719,417,713,529,112.1605991
25,717,417,711,537,120.1499064
26,716,421,710,544,123.1462545
27,714,422,708,548,126.1427762
28,712,423,706,552,129.1394595
29,711,422,707,550,128.0624847
30,710,422,710,548,126
31,708,421,706,545,124.016128
32,706,423,702,543,120.0666482
33,703,424,699,542,118.0677771
34,700,424,698,543,119.0168055
35,699,427,696,546,119.0378091
36,698,429,695,547,118.0381294
37,697,432,694,550,118.0381294
38,693,434,691,552,118.0169479
39,691,438,690,552,114.0043859
40,690,440,688,559,119.0168055
41,686,443,684,562,119.0168055
42,685,444,682,562,118.0381294
43,682,449,680,564,115.01739
44,679,451,679,562,111
45,679,453,681,559,106.0188662
46,676,455,681,559,104.1201229
47,676,455,683,561,106.2308806
48,676,458,683,566,108.2266141
49,675,461,683,567,106.3014581
50,675,461,683,567,106.3014581
51,675,461,683,568,107.2986486
52,674,462,683,569,107.3778376
53,673,461,684,575,114.5294722
54,675,462,685,577,115.4339638
55,674,463,685,582,119.507322
56,678,460,690,580,120.5985075
57,679,459,692,578,119.707978
58,681,456,696,575,119.9416525
59,682,457,695,570,113.7453296
60,682,458,691,567,109.3709285
61,679,458,688,568,110.3675677
62,679,460,685,570,110.1635148
63,682,461,687,571,110.1135777
64,683,462,688,571,109.1146186
65,686,463,690,572,109.0733698
66,687,464,690,573,109.0412766
67,687,463,691,576,113.0707743
68,687,464,692,579,115.1086443
69,687,464,692,579,115.1086443
70,689,464,694,582,118.1058847
71,688,460,694,583,123.1462545
72,687,460,691,582,122.0655562
73,687,459,692,578,119.1049957
74,687,460,689,568,108.0185169
75,686,459,687,567,108.0046295
76,686,461,685,567,106.0047169
77,686,462,684,571,109.0183471
78,688,463,685,572,109.0412766
79,689,464,686,573,109.0412766
80,688,464,685,573,109.0412766
81,689,465,686,572,107.0420478
82,691,465,689,572,107.01869
83,692,466,692,577,111
84,693,467,694,578,111.0045044
85,698,468,699,580,112.0044642
86,701,468,703,578,110.0181803
87,706,468,707,575,107.0046728
88,710,470,707,567,97.04638066
89,711,469,703,565,96.33275663
90,714,469,703,568,99.60923652
91,716,471,704,568,97.73944956
92,722,473,708,570,98.00510191
93,724,473,710,570,98.00510191
94,728,474,712,571,98.31073187
95,731,478,716,576,99.14131329
96,731,478,714,573,96.50906693
97,734,478,717,576,99.46356117
98,735,478,715,580,103.9422917
99,735,478,715,585,108.853112
100,733,479,714,582,104.7377678
101,733,477,715,585,109.4897255
102,732,474,714,583,110.4762418
103,732,472,716,582,111.1575459
104,731,471,718,578,107.7868267
105,732,469,719,574,105.8017013
106,734,467,719,574,108.0462864
107,734,465,718,571,107.2007463
108,735,462,720,573,112.0089282
109,737,460,722,571,112.0089282
110,738,457,724,567,110.8873302
111,739,452,725,564,112.8716085
112,739,450,725,565,115.8490397
113,738,446,723,565,119.9416525
114,736,443,719,567,125.1598977
115,732,440,717,566,126.8897159
116,730,435,715,564,129.8691649
117,728,433,714,563,130.751673
118,724,429,712,555,126.5701387
119,721,423,714,548,125.1958466
120,718,421,710,542,121.2641744
121,718,417,710,539,122.2620137
122,715,415,708,537,122.2006547
123,714,413,707,537,124.1974235
124,714,412,706,535,123.259888
125,712,410,703,533,123.3288287
126,711,408,703,531,123.259888
127,711,407,704,530,123.199026
