Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,667,415,662,539,124.1007655
1,666,420,660,535,115.1564154
2,666,424,662,540,116.068945
3,667,425,662,542,117.1067889
4,667,427,662,542,115.1086443
5,668,427,664,540,113.0707743
6,667,428,664,544,116.0387866
7,669,429,668,546,117.0042734
8,670,429,668,551,122.0163923
9,672,430,670,555,125.015999
10,673,430,670,558,128.0351514
11,673,429,670,559,130.0346108
12,674,428,672,557,129.0155029
13,675,427,672,551,124.036285
14,676,425,674,546,121.0165278
15,677,423,673,544,121.0660976
16,677,423,671,544,121.148669
17,676,423,669,543,120.2039933
18,676,423,669,542,119.2057046
19,676,421,669,542,121.2023102
20,675,420,668,541,121.2023102
21,673,418,668,541,123.1015841
22,670,418,665,541,123.1015841
23,668,416,662,541,125.1439172
24,665,414,658,544,130.1883251
25,665,413,656,545,132.3064624
26,664,413,654,547,134.3726163
27,665,413,655,548,135.3698637
28,665,413,654,549,136.4441278
29,665,410,655,545,135.3698637
30,667,409,658,539,130.3111661
31,668,410,661,537,127.1927671
32,669,410,664,535,125.09996
33,670,411,664,535,124.1450764
34,670,412,664,536,124.1450764
35,669,412,663,536,124.1450764
36,668,412,662,536,124.1450764
37,668,412,662,535,123.1462545
38,667,413,660,536,123.199026
39,665,413,658,541,128.1912634
40,663,413,658,541,128.097619
41,661,416,657,542,126.0634761
42,661,418,655,547,129.1394595
43,660,419,654,550,131.1373326
44,658,420,650,552,132.242202
45,658,420,648,550,130.3840481
46,655,419,647,545,126.2537128
47,656,421,649,543,122.2006547
48,656,423,649,543,120.2039933
49,658,425,650,544,119.2686044
50,656,427,649,545,118.2074448
51,654,428,647,546,118.2074448
52,652,428,645,547,119.2057046
53,650,428,644,546,118.1524439
54,648,426,645,546,120.0374941
55,644,427,643,552,125.0039999
56,642,428,641,554,126.0039682
57,642,429,642,557,128
58,641,431,642,558,127.0039369
59,640,432,642,559,127.0157471
60,642,431,643,557,126.0039682
61,641,429,641,550,121
62,641,429,640,551,122.0040983
63,643,431,640,550,119.0378091
64,642,433,637,553,120.1041215
65,642,434,636,554,120.1499064
66,643,435,636,555,120.2039933
67,642,436,635,556,120.2039933
68,642,436,636,556,120.1499064
69,642,435,637,555,120.1041215
70,640,437,634,560,123.1462545
71,639,436,633,563,127.1416533
72,640,436,633,566,130.1883251
73,643,436,634,566,130.3111661
74,645,437,637,565,128.2497563
75,645,434,634,561,127.4754878
76,644,431,631,559,128.6584626
77,643,430,630,554,124.6795893
78,643,431,629,553,122.8006515
79,645,431,630,551,120.9338662
80,646,431,631,550,119.9416525
81,648,431,634,550,119.8206994
82,649,432,636,549,117.7200068
83,650,431,637,547,116.7261753
84,650,430,638,547,117.6137747
85,650,430,639,547,117.5159564
86,651,428,641,546,118.4229707
87,652,429,642,548,119.4194289
88,649,428,637,550,122.5887434
89,648,428,635,552,124.6795893
90,646,429,631,552,123.9112586
91,645,428,629,552,125.0279969
92,642,425,626,545,121.0619676
93,641,422,627,539,117.8346299
94,643,421,630,540,119.707978
95,644,418,631,538,120.7021127
96,645,417,632,537,120.7021127
97,646,416,634,536,120.5985075
98,646,415,634,535,120.5985075
99,646,415,635,534,119.507322
100,647,416,636,534,118.5116028
101,648,416,636,535,119.6035117
102,649,417,638,534,117.5159564
103,650,418,637,541,123.685084
104,651,420,637,541,121.8072247
105,651,421,636,545,124.9039631
106,649,422,633,545,124.036285
107,650,422,633,543,122.1883792
108,649,423,636,541,118.7139419
109,650,425,637,539,114.7388339
110,651,426,638,541,115.7324501
111,652,429,638,544,115.8490397
112,652,432,638,544,112.8716085
113,653,435,639,545,110.8873302
114,653,437,640,544,107.7868267
115,653,439,642,542,103.5857133
116,651,439,637,552,113.8639539
117,651,442,637,557,115.8490397
118,648,441,635,559,118.7139419
119,647,442,636,560,118.5116028
120,646,443,636,559,116.4302366
121,646,443,637,556,113.3578405
122,645,443,636,554,111.3642672
123,645,443,636,553,110.3675677
124,646,445,637,552,107.3778376
125,646,447,638,552,105.3043209
126,646,450,638,555,105.3043209
127,647,452,639,555,103.3102125
128,646,453,639,554,101.2422837
129,647,454,640,557,103.2375901
130,648,455,638,563,108.4619749
131,647,456,638,568,112.3610253
132,647,459,636,573,114.5294722
133,647,459,636,573,114.5294722
134,647,458,637,572,114.437756
135,649,456,642,570,114.2147101
